runder,tiderISekund,poeng,handlinger,feil
273,50,6028,112,5
274,52,6077,123,2
275,55,6019,114,2
276,53,6133,111,2
277,59,6017,119,2
278,53,6165,111,2
279,51,6097,149,2
280,45,6053,131,2
281,52,6007,114,0
282,55,6053,119,1
283,53,6062,121,2
284,52,6001,113,3
285,44,6237,112,0
286,49,6088,147,1
287,56,6087,112,1
288,53,6026,138,4
289,51,6240,123,1
290,48,6118,129,2
291,57,6019,122,3
292,47,6001,126,1
293,51,6145,139,2
294,45,6081,131,3
295,60,6089,128,1
296,53,6027,116,0
297,51,6035,107,0
298,51,6094,110,0
299,47,6046,113,0
300,56,6006,111,0
301,48,6061,125,1
302,47,6064,113,1
303,48,6085,124,1
304,47,6266,118,2
305,49,6689,134,2
306,41,6048,124,1
307,46,6010,139,1
308,48,6020,117,1
309,45,6030,129,1
310,47,5640,121,0
311,49,5650,126,0
312,54,6060,138,1
313,45,6070,111,0
314,55,5920,105,1
315,53,6090,143,0
316,55,6500,117,0
317,51,6110,120,0
318,57,6280,139,0
319,45,6130,128,0
320,50,6140,126,0
321,48,5990,95,0
322,50,6160,113,1
323,54,6010,130,2
324,55,6020,129,0
325,49,5790,115,1
326,50,6200,138,0
327,51,6210,133,0
328,46,6220,115,0
329,52,6230,128,0
330,47,6240,122,0
331,48,6250,97,0
332,52,6260,111,2
333,47,6670,115,0
334,58,6280,113,1
335,51,6450,138,0
336,46,6300,134,0
337,50,6470,142,1
338,46,6320,129,0
339,44,6170,100,2
340,45,6500,130,0
341,50,6350,129,0
342,45,6360,118,1
343,51,6370,128,0
344,54,6540,136,0
345,51,6390,133,1
346,40,6400,106,1
347,49,6410,132,1
348,48,6260,125,0
349,51,6430,122,1
350,53,6440,133,1
